1	1	N2	NSF	13442	Βίβλος	βιβλος	βιβλος	βίβλος				BI/BLOS	BI/BLOS
1	1	N2	GPM	10050	λόγων	λογων	λογων	λόγος				LO/GWN	LO/GOS
1	1	N	GSM	9538	Τωβιτ	τωβιτ	τωβιτ	Τωβιτ				*TWBIT	*TWBIT
1	1	RA	GSM	10	τοῦ	του	του	ὁ				TOU=	O(
1	1	N	GSM	9538	Τωβιηλ	τωβιηλ	τωβιηλ	Τωβιηλ				*TWBIHL	*TWBIHL
1	1	RA	GSM	10	τοῦ	του	του	ὁ				TOU=	O(
1	1	N	GSM	9538	Ανανιηλ	ανανιηλ	ανανιηλ	Ἁνανιηλ				*ANANIHL	*A(NANIHL
1	1	RA	GSM	10	τοῦ	του	του	ὁ				TOU=	O(
1	1	N	GSM	9538	Αδουηλ	αδουηλ	αδουηλ	Ἀδουηλ				*ADOUHL	*A)DOUHL
1	1	RA	GSM	10	τοῦ	του	του	ὁ				TOU=	O(
1	1	N	GSM	9538	Γαβαηλ	γαβαηλ	γαβαηλ	Γαβαήλ				*GABAHL	*GABAHL
1	1	P		8	ἐκ	ἐκ	εκ	ἐκ				E)K	E)K
1	1	RA	GSN	10	τοῦ	του	του	ὁ				TOU=	O(
1	1	N3M	GSN	17730	σπέρματος	σπερματος	σπερματος	σπέρμα				SPE/RMATOS	SPE/RMA
1	1	N	GSM	9538	Ασιηλ	ασιηλ	ασιηλ	Ἀσιηλ				*ASIHL	*A)SIHL
1	1	P		8	ἐκ	ἐκ	εκ	ἐκ				E)K	E)K
1	1	RA	GSF	10	τῆς	της	της	ὁ				TH=S	O(
1	1	N1	GSF	13634	φυλῆς	φυλης	φυλης	φυλή				FULH=S	FULH/
1	1	N	GSF	13634	Νεφθαλιμ	νεφθαλιμ	νεφθαλιμ	Νεφθαλείμ			,	*NEFQALIM	*NEFQALIM
1	2	RR	NSM	14	ὃς	ὁς	ος	ὅς				O(\S	O(/S
1	2	VCI	API3S	641665	ᾐχμαλωτεύθη	ἠχμαλωτευθη	ηχμαλωτευθη	αἰχμαλωτεύω				H)|XMALWTEU/QH	AI)XMALWTEU/W
1	2	P		8	ἐν	ἐν	εν	ἐν				E)N	E)N
1	2	N1A	DPF	14210	ἡμέραις	ἡμεραις	ημεραις	ἡμέρα				H(ME/RAIS	H(ME/RA
1	2	N2	GSM	9538	Ενεμεσσαρου	ενεμεσσαρου	ενεμεσσαρου	Ἐνεμέσσαρος				*ENEMESSAROU	*E)NEME/SSAROS
1	2	RA	GSM	10	τοῦ	του	του	ὁ				TOU=	O(
1	2	N3V	GSM	9538	βασιλέως	βασιλεως	βασιλεως	βασιλεύς				BASILE/WS	BASILEU/S
1	2	N2	GPM	10050	Ἀσσυρίων	ἀσσυριων	ασσυριων	Ἀσσύριος				*A)SSURI/WN	*A)SSU/RIOS
1	2	P		8	ἐκ	ἐκ	εκ	ἐκ				E)K	E)K
1	2	N1	GSF	13634	Θισβης	θισβης	θισβης	Θίσβη			,	*QISBHS	*QI/SBH
1	2	RR	NSF	14	ἥ	ἡ	η	ὅς				H(/	O(/S
1	2	V9	PAI3S	631937	ἐστιν	ἐστιν	εστιν	εἰμί				E)STIN	EI)MI/
1	2	P		8	ἐκ	ἐκ	εκ	ἐκ				E)K	E)K
1	2	A1A	GPN	18243	δεξιῶν	δεξιων	δεξιων	δεξιός				DECIW=N	DECIO/S
1	2	N	GS	5442	Κυδιως	κυδιως	κυδιως	Κυδιως				*KUDIWS	*KUDIWS
1	2	RA	GSF	10	τῆς	της	της	ὁ				TH=S	O(
1	2	N	GSF	13634	Νεφθαλιμ	νεφθαλιμ	νεφθαλιμ	Νεφθαλείμ				*NEFQALIM	*NEFQALIM
1	2	P		8	ἐν	ἐν	εν	ἐν				E)N	E)N
1	2	RA	DSF	10	τῇ	τη	τη	ὁ				TH=|	O(
1	2	N1A	DSF	13698	Γαλιλαίᾳ	γαλιλαια	γαλιλαια	Γαλιλαία				*GALILAI/A|	*GALILAI/A
1	2	P		8	ὑπεράνω	ὑπερανω	υπερανω	ὑπεράνω				U(PERA/NW	U(PERA/NW
1	2	N	GSM	9538	Ασηρ	ασηρ	ασηρ	Ἀσήρ			.	*ASHR	*ASHR
1	3	RP	NS	13	Ἐγὼ	ἐγω	εγω	ἐγώ				E)GW\	E)GW/
