1	1	VAI	AAI1S	600705	Ἐβόησα	ἐβοησα	εβοησα	βοάω				E)BO/HSA	BOA/W
1	1	P		8	πρὸς	προς	προς	πρός				PRO\S	PRO/S
1	1	N2	ASM	9474	κύριον	κυριον	κυριον	κύριος				KU/RION	KU/RIOS
1	1	P		8	ἐν	ἐν	εν	ἐν				E)N	E)N
1	1	RA	DSN	10	τῷ	τω	τω	ὁ				TW=|	O(
1	1	V1	PMN	308609	θλίβεσθαί	θλιβεσθαι	θλιβεσθαι	θλίβω				QLI/BESQAI/	QLI/BW
1	1	RP	AS	13	με	με	με	μέ				ME	E)GW/
1	1	P		8	εἰς	εἰς	εις	εἰς				EI)S	EI)S
1	1	N3E	ASN	17666	τέλος	τελος	τελος	τέλος			,	TE/LOS	TE/LOS
1	1	P		8	πρὸς	προς	προς	πρός				PRO\S	PRO/S
1	1	RA	ASM	10	τὸν	τον	τον	ὁ				TO\N	O(
1	1	N2	ASM	9474	θεὸν	θεον	θεον	θεός				QEO\N	QEO/S
1	1	P		8	ἐν	ἐν	εν	ἐν				E)N	E)N
1	1	RA	DSN	10	τῷ	τω	τω	ὁ				TW=|	O(
1	1	VE	AMN	310145	ἐπιθέσθαι	ἐπιθεσθαι	επιθεσθαι	ἐπιτίθημι				E)PIQE/SQAI	TI/QHMI          E)PI
1	1	A1B	APM	9987	ἁμαρτωλούς	ἁμαρτωλους	αμαρτωλους	ἁμαρτωλός			·	A(MARTWLOU/S	A(MARTWLO/S
1	2	D		9	ἐξάπινα	ἐξαπινα	εξαπινα	ἐξάπινα				E)CA/PINA	E)CA/PINA
1	2	VCI	API3S	641665	ἠκούσθη	ἠκουσθη	ηκουσθη	ἀκούω				H)KOU/SQH	A)KOU/W
1	2	N1	NSF	13442	κραυγὴ	κραυγη	κραυγη	κραυγή				KRAUGH\	KRAUGH/
1	2	N2	GSM	9538	πολέμου	πολεμου	πολεμου	πόλεμος				POLE/MOU	PO/LEMOS
1	2	A1B	ASM	9475	ἐνώπιόν	ἐνωπιον	ενωπιον	ἐνώπιος				E)NW/PIO/N	E)NW/PION
1	2	RP	GS	13	μου	μου	μου	μου			·	MOU	E)GW/
1	2	VAI	AAI1S	600705	εἶπα	εἰπα	ειπα	ἔπω	[	]		EI)=PA	EI)=PON
1	2	VF	FMI3S	637057	Ἐπακούσεταί	ἐπακουσεται	επακουσεται	ἐπακούω				E)PAKOU/SETAI/	A)KOU/W          E)PI
1	2	RP	GS	13	μου	μου	μου	μου			,	MOU	E)GW/
1	2	C		4	ὅτι	ὁτι	οτι	ὅτι				O(/TI	O(/TI
1	2	VSI	API1S	608897	ἐπλήσθην	ἐπλησθην	επλησθην	πλήθω				E)PLH/SQHN	PI/MPLHMI
1	2	N1	GSF	13634	δικαιοσύνης	δικαιοσυνης	δικαιοσυνης	δικαιοσύνη			.	DIKAIOSU/NHS	DIKAIOSU/NH
1	3	VAI	AMI1S	604801	ἐλογισάμην	ἐλογισαμην	ελογισαμην	λογίζομαι				E)LOGISA/MHN	LOGI/ZOMAI
1	3	P		8	ἐν	ἐν	εν	ἐν				E)N	E)N
1	3	N1A	DSF	13698	καρδίᾳ	καρδια	καρδια	καρδία				KARDI/A|	KARDI/A
1	3	RP	GS	13	μου	μου	μου	μου				MOU	E)GW/
1	3	C		4	ὅτι	ὁτι	οτι	ὅτι				O(/TI	O(/TI
1	3	VSI	API1S	608897	ἐπλήσθην	ἐπλησθην	επλησθην	πλήθω				E)PLH/SQHN	PI/MPLHMI
1	3	N1	GSF	13634	δικαιοσύνης	δικαιοσυνης	δικαιοσυνης	δικαιοσύνη				DIKAIOSU/NHS	DIKAIOSU/NH
1	3	P		8	ἐν	ἐν	εν	ἐν				E)N	E)N
1	3	RA	DSN	10	τῷ	τω	τω	ὁ				TW=|	O(
1	3	VA	AAN	306049	εὐθηνῆσαί	εὐθηνησαι	ευθηνησαι	εὐθηνέω				EU)QHNH=SAI/	EU)QHNE/W
1	3	RP	AS	13	με	με	με	μέ				ME	E)GW/
1	3	C		4	καὶ	και	και	καί				KAI\	KAI/
1	3	A1	ASF	13571	πολλὴν	πολλην	πολλην	πολύς				POLLH\N	POLU/S
1	3	VB	AMN	310145	γενέσθαι	γενεσθαι	γενεσθαι	γίνομαι				GENE/SQAI	GI/GNOMAI
1	3	P		8	ἐν	ἐν	εν	ἐν				E)N	E)N
1	3	N2N	DPN	18306	τέκνοις	τεκνοις	τεκνοις	τέκνον			.	TE/KNOIS	TE/KNON
1	4	RA	NSM	10	ὁ	ὁ	ο	ὁ				O(	O(
1	4	N2	NSM	9346	πλοῦτος	πλουτος	πλουτος	πλοῦτος				PLOU=TOS	PLOU=TOS
