1	1	N3M	NPN	18050	Ῥήματα	ῥηματα	ρηματα	ῥῆμα				R(H/MATA	R(H=MA
1	1	N1M	GSM	9538	Ἐκκλησιαστοῦ	ἐκκλησιαστου	εκκλησιαστου	Ἐκκλησιαστής				*E)KKLHSIASTOU=	*E)KKLHSIASTH/S
1	1	N2	GSM	9538	υἱοῦ	υἱου	υιου	υἱός				UI(OU=	UI(O/S
1	1	N	GSM	9538	Δαυιδ	δαυιδ	δαυιδ	Δαβίδ				*DAUID	*DAUI/D
1	1	N3V	GSM	9538	βασιλέως	βασιλεως	βασιλεως	βασιλεύς				BASILE/WS	BASILEU/S
1	1	N	GSM	9538	Ισραηλ	ισραηλ	ισραηλ	Ἰσραήλ				*ISRAHL	*I)SRAH/L
1	1	P		8	ἐν	ἐν	εν	ἐν				E)N	E)N
1	1	N	DSF	13698	Ιερουσαλημ	ιερουσαλημ	ιερουσαλημ	Ἱερουσαλήμ			.	*IEROUSALHM	*I)EROUSALH/M
1	2	N3T	NSF	13442	Ματαιότης	ματαιοτης	ματαιοτης	ματαιότης				MATAIO/THS	MATAIO/THS
1	2	N3T	GPF	14146	ματαιοτήτων	ματαιοτητων	ματαιοτητων	ματαιότης			,	MATAIOTH/TWN	MATAIO/THS
1	2	VBI	AAI3S	633473	εἶπεν	εἰπεν	ειπεν	ἔπω				EI)=PEN	EI)=PON
1	2	RA	NSM	10	ὁ	ὁ	ο	ὁ				O(	O(
1	2	N1M	NSM	9346	Ἐκκλησιαστής	ἐκκλησιαστης	εκκλησιαστης	Ἐκκλησιαστής			,	*E)KKLHSIASTH/S	*E)KKLHSIASTH/S
1	2	N3T	NSM	9346	ματαιότης	ματαιοτης	ματαιοτης	ματαιότης				MATAIO/THS	MATAIO/THS
1	2	N3T	GPF	14146	ματαιοτήτων	ματαιοτητων	ματαιοτητων	ματαιότης			,	MATAIOTH/TWN	MATAIO/THS
1	2	RA	NPN	10	τὰ	τα	τα	ὁ				TA\	O(
1	2	A3	NPN	18051	πάντα	παντα	παντα	πᾶς				PA/NTA	PA=S
1	2	N3T	NSF	13442	ματαιότης	ματαιοτης	ματαιοτης	ματαιότης			.	MATAIO/THS	MATAIO/THS
1	3	RI	NSF	12	τίς	τις	τις	τίς				TI/S	TI/S
1	3	N1A	NSF	13442	περισσεία	περισσεια	περισσεια	περισσεία				PERISSEI/A	PERISSEI/A
1	3	RA	DSM	10	τῷ	τω	τω	ὁ				TW=|	O(
1	3	N2	DSM	9602	ἀνθρώπῳ	ἀνθρωπω	ανθρωπω	ἄνθρωπος				A)NQRW/PW|	A)/NQRWPOS
1	3	P		8	ἐν	ἐν	εν	ἐν				E)N	E)N
1	3	A3	DSM	9603	παντὶ	παντι	παντι	πᾶς				PANTI\	PA=S
1	3	N2	DSM	9602	μόχθῳ	μοχθω	μοχθω	μόχθος				MO/XQW|	MO/XQOS
1	3	RD	GSM	11	αὐτοῦ	αὐτου	αυτου	αὐτός			,	AU)TOU=	AU)TO/S
1	3	RR	DSM	14	ᾧ	ὡ	ω	ὅς				W(=|	O(/S
1	3	V2	PAI3S	631937	μοχθεῖ	μοχθει	μοχθει	μοχθέω				MOXQEI=	MOXQE/W
1	3	P		8	ὑπὸ	ὑπο	υπο	ὑπό				U(PO\	U(PO/
1	3	RA	ASM	10	τὸν	τον	τον	ὁ				TO\N	O(
1	3	N2	ASM	9474	ἥλιον	ἡλιον	ηλιον	ἥλιος			;	H(/LION	H(/LIOS
1	4	N1A	NSF	13442	γενεὰ	γενεα	γενεα	γενεά				GENEA\	GENEA/
