1	1	RD	NPM	11	Οὗτοι	οὑτοι	ουτοι	οὗτος				OU(=TOI	OU(=TOS
1	1	RA	NPM	10	οἱ	οἱ	οι	ὁ				OI(	O(
1	1	N2	NPM	9858	λόγοι	λογοι	λογοι	λόγος			,	LO/GOI	LO/GOS
1	1	RR	APM	14	οὓς	οὑς	ους	ὅς				OU(\S	O(/S
1	1	VAI	AAI3S	633473	ἐλάλησεν	ἐλαλησεν	ελαλησεν	λαλέω				E)LA/LHSEN	LALE/W
1	1	N1M	NSM	9346	Μωϋσῆς	μωϋσης	μωυσης	Μωσεύς				*MWUSH=S	*MWUSH=S
1	1	A3	DSM	9603	παντὶ	παντι	παντι	πᾶς				PANTI\	PA=S
1	1	N	DSM	9602	Ισραηλ	ισραηλ	ισραηλ	Ἰσραήλ				*ISRAHL	*I)SRAH/L
1	1	D		9	πέραν	περαν	περαν	πέραν				PE/RAN	PE/RAN
1	1	RA	GSM	10	τοῦ	του	του	ὁ				TOU=	O(
1	1	N1M	GSM	9538	Ιορδάνου	ιορδανου	ιορδανου	Ἰορδάνης				*IORDA/NOU	*I)ORDA/NHS
1	1	P		8	ἐν	ἐν	εν	ἐν				E)N	E)N
1	1	RA	DSF	10	τῇ	τη	τη	ὁ				TH=|	O(
1	1	N2	DSF	13698	ἐρήμῳ	ἐρημω	ερημω	ἔρημος				E)RH/MW|	E)/RHMOS
1	1	P		8	πρὸς	προς	προς	πρός				PRO\S	PRO/S
1	1	N1	DPF	14210	δυσμαῖς	δυσμαις	δυσμαις	δυσμή				DUSMAI=S	DUSMH/
1	1	D		9	πλησίον	πλησιον	πλησιον	πλησίον				PLHSI/ON	PLHSI/ON
1	1	RA	GSF	10	τῆς	της	της	ὁ				TH=S	O(
1	1	A1A	GSF	13635	ἐρυθρᾶς	ἐρυθρας	ερυθρας	ἐρυθρός				E)RUQRA=S	E)RUQRO/S
1	1	P		8	ἀνὰ	ἀνα	ανα	ἀνά				A)NA\	A)NA/
1	1	A1	ASM	9475	μέσον	μεσον	μεσον	μέσος				ME/SON	ME/SOS
1	1	N	GS	5442	Φαραν	φαραν	φαραν	Φαραν			,	*FARAN	*FARAN
1	1	N	GS	5442	Τοφολ	τοφολ	τοφολ	Τοφολ				*TOFOL	*TOFOL
1	1	C		4	καὶ	και	και	καί				KAI\	KAI/
1	1	N	GS	5442	Λοβον	λοβον	λοβον	Λοβον				*LOBON	*LOBON
1	1	C		4	καὶ	και	και	καί				KAI\	KAI/
1	1	N	GS	5442	Αυλων	αυλων	αυλων	Αυλων				*AULWN	*AULWN
1	1	C		4	καὶ	και	και	καί				KAI\	KAI/
1	1	N		4674	Καταχρύσεα	καταχρυσεα	καταχρυσεα	καταχρύσεα			·	KATAXRU/SEA	KATAXRU/SEA
1	2	M		7	ἕνδεκα	ἑνδεκα	ενδεκα	ἕνδεκα				E(/NDEKA	E(/NDEKA
1	2	N1A	GPF	14146	ἡμερῶν	ἡμερων	ημερων	ἡμέρα				H(MERW=N	H(ME/RA
1	2	P		8	ἐν	ἐν	εν	ἐν				E)N	E)N
1	2	N	DSF	13698	Χωρηβ	χωρηβ	χωρηβ	Χωρηβ				*XWRHB	*XWRHB
1	2	N2	NSF	13442	ὁδὸς	ὁδος	οδος	ὁδός				O(DO\S	O(DO/S
1	2	P		8	ἐπ	ἐπ	επ	ἐπί				E)P'	E)PI/
1	2	N3E	ASN	17666	ὄρος	ὀρος	ορος	ὄρος				O)/ROS	O)/ROS
1	2	N	GSN	17730	Σηιρ	σηιρ	σηιρ	Σηιρ				*SHIR	*SHIR
1	2	P		8	ἕως	ἑως	εως	ἕως				E(/WS	E(/WS
1	2	N	GS	5442	Καδης	καδης	καδης	Καδης				*KADHS	*KADHS
1	2	N	GS	5442	Βαρνη	βαρνη	βαρνη	Βαρνη			.	*BARNH	*BARNH
1	3	C		4	καὶ	και	και	καί				KAI\	KAI/
1	3	VCI	API3S	641665	ἐγενήθη	ἐγενηθη	εγενηθη	γίνομαι				E)GENH/QH	GI/GNOMAI
1	3	P		8	ἐν	ἐν	εν	ἐν				E)N	E)N
1	3	RA	DSN	10	τῷ	τω	τω	ὁ				TW=|	O(
