1	1	N1A	NPF	13954	Παροιμίαι	παροιμιαι	παροιμιαι	παροιμία				PAROIMI/AI	PAROIMI/A
1	1	N	GSM	9538	Σαλωμῶντος	σαλωμωντος	σαλωμωντος	Σαλωμών				*SALWMW=NTOS	*SALWMW=N
1	1	N2	GSM	9538	υἱοῦ	υἱου	υιου	υἱός				UI(OU=	UI(O/S
1	1	N	GSM	9538	Δαυιδ	δαυιδ	δαυιδ	Δαβίδ			,	*DAUID	*DAUI/D
1	1	RR	NSM	14	ὃς	ὁς	ος	ὅς				O(\S	O(/S
1	1	VAI	AAI3S	633473	ἐβασίλευσεν	ἐβασιλευσεν	εβασιλευσεν	βασιλεύω				E)BASI/LEUSEN	BASILEU/W
1	1	P		8	ἐν	ἐν	εν	ἐν				E)N	E)N
1	1	N	DSM	9602	Ισραηλ	ισραηλ	ισραηλ	Ἰσραήλ			,	*ISRAHL	*I)SRAH/L
1	2	VZ	AAN	306049	γνῶναι	γνωναι	γνωναι	γινώσκω				GNW=NAI	GIGNW/SKW
1	2	N1A	ASF	13570	σοφίαν	σοφιαν	σοφιαν	σοφία				SOFI/AN	SOFI/A
1	2	C		4	καὶ	και	και	καί				KAI\	KAI/
1	2	N1A	ASF	13570	παιδείαν	παιδειαν	παιδειαν	παιδεία				PAIDEI/AN	PAIDEI/A
1	2	VA	AAN	306049	νοῆσαί	νοησαι	νοησαι	νοέω				NOH=SAI/	NOE/W
1	2	C		4	τε	τε	τε	τε				TE	TE
1	2	N2	APM	9986	λόγους	λογους	λογους	λόγος				LO/GOUS	LO/GOS
1	2	N3I	GSF	13634	φρονήσεως	φρονησεως	φρονησεως	φρόνησις				FRONH/SEWS	FRO/NHSIS
1	3	VA	AMN	310145	δέξασθαί	δεξασθαι	δεξασθαι	δέχομαι				DE/CASQAI/	DE/XOMAI
1	3	C		4	τε	τε	τε	τε				TE	TE
1	3	N1	APF	14082	στροφὰς	στροφας	στροφας	στροφή				STROFA\S	STROFH/
1	3	N2	GPM	10050	λόγων	λογων	λογων	λόγος				LO/GWN	LO/GOS
1	3	VA	AAN	306049	νοῆσαί	νοησαι	νοησαι	νοέω				NOH=SAI/	NOE/W
1	3	C		4	τε	τε	τε	τε				TE	TE
1	3	N1	ASF	13570	δικαιοσύνην	δικαιοσυνην	δικαιοσυνην	δικαιοσύνη				DIKAIOSU/NHN	DIKAIOSU/NH
1	3	A3H	ASF	13571	ἀληθῆ	ἀληθη	αληθη	ἀληθής				A)LHQH=	A)LHQH/S
1	3	C		4	καὶ	και	και	καί				KAI\	KAI/
1	3	N3M	ASN	17666	κρίμα	κριμα	κριμα	κρίμα				KRI/MA	KRI/MA
1	3	V1	PAN	304513	κατευθύνειν	κατευθυνειν	κατευθυνειν	κατευθύνω			,	KATEUQU/NEIN	EU)QU/NW         KATA
1	4	C		4	ἵνα	ἱνα	ινα	ἵνα				I(/NA	I(/NA
1	4	VO	AAS3S	633601	δῷ	δω	δω	δίδωμι				DW=|	DI/DWMI
1	4	A1B	DPM	10115	ἀκάκοις	ἀκακοις	ακακοις	ἄκακος				A)KA/KOIS	A)/KAKOS
1	4	N1A	ASF	13570	πανουργίαν	πανουργιαν	πανουργιαν	πανουργία			,	PANOURGI/AN	PANOURGIA/
1	4	N3D	DSM	9602	παιδὶ	παιδι	παιδι	παῖς				PAIDI\	PAI=S
1	4	X		5	δὲ	δε	δε	δέ				DE\	DE/
1	4	A1A	DSM	9603	νέῳ	νεω	νεω	νέος				NE/W|	NE/OS
1	4	N3I	ASF	13570	αἴσθησίν	αἰσθησιν	αισθησιν	αἴσθησις				AI)/SQHSI/N	AI)/SQHSIS
1	4	X		5	τε	τε	τε	τε				TE	TE
1	4	C		4	καὶ	και	και	καί				KAI\	KAI/
1	4	N1A	ASF	13570	ἔννοιαν	ἐννοιαν	εννοιαν	ἔννοια			·	E)/NNOIAN	E)NNOI/A
1	5	RD	GPF	11	τῶνδε	τωνδε	τωνδε	ὅδε				TW=NDE	O(/DE
1	5	X		5	γὰρ	γαρ	γαρ	γάρ				GA\R	GA/R
1	5	VA	AAPNSM	4795329	ἀκούσας	ἀκουσας	ακουσας	ἀκούω				A)KOU/SAS	A)KOU/W
1	5	A1	NSM	9347	σοφὸς	σοφος	σοφος	σοφός				SOFO\S	SOFO/S
1	5	A1	NSMC	42115	σοφώτερος	σοφωτερος	σοφωτερος	σοφός				SOFW/TEROS	SOFO/S
1	5	VF	FMI3S	637057	ἔσται	ἐσται	εσται	εἰμί			,	E)/STAI	EI)MI/
1	5	RA	NSM	10	ὁ	ὁ	ο	ὁ				O(	O(
1	5	X		5	δὲ	δε	δε	δέ				DE\	DE/
1	5	A3N	NSM	9347	νοήμων	νοημων	νοημων	νοήμων				NOH/MWN	NOH/MWN
1	5	N3I	ASM	9474	κυβέρνησιν	κυβερνησιν	κυβερνησιν	κυβέρνησις				KUBE/RNHSIN	KUBE/RNHSIS
1	5	VF	FMI3S	637057	κτήσεται	κτησεται	κτησεται	κτάομαι				KTH/SETAI	KTA/OMAI
1	6	VF	FAI3S	632961	νοήσει	νοησει	νοησει	νοέω				NOH/SEI	NOE/W
