1	1	A1A	NSM	9347	Μακάριος	μακαριος	μακαριος	μακάριος				MAKA/RIOS	MAKA/RIOS
1	1	N3	NSM	9346	ἀνήρ	ἀνηρ	ανηρ	ἀνήρ			,	A)NH/R	A)NH/R
1	1	RR	NSM	14	ὃς	ὁς	ος	ὅς				O(\S	O(/S
1	1	D		9	οὐκ	οὐκ	ουκ	οὐ				OU)K	OU)
1	1	VCI	API3S	641665	ἐπορεύθη	ἐπορευθη	επορευθη	πορεύομαι				E)POREU/QH	POREU/OMAI
1	1	P		8	ἐν	ἐν	εν	ἐν				E)N	E)N
1	1	N1	DSF	13698	βουλῇ	βουλη	βουλη	βουλή				BOULH=|	BOULH/
1	1	A3H	GPM	10051	ἀσεβῶν	ἀσεβων	ασεβων	ἀσεβής				A)SEBW=N	A)SEBH/S
1	1	C		4	καὶ	και	και	καί				KAI\	KAI/
1	1	P		8	ἐν	ἐν	εν	ἐν				E)N	E)N
1	1	N2	DSF	13698	ὁδῷ	ὁδω	οδω	ὁδός				O(DW=|	O(DO/S
1	1	A1B	GPM	10051	ἁμαρτωλῶν	ἁμαρτωλων	αμαρτωλων	ἁμαρτωλός				A(MARTWLW=N	A(MARTWLO/S
1	1	D		9	οὐκ	οὐκ	ουκ	οὐ				OU)K	OU)
1	1	VHI	AAI3S	633473	ἔστη	ἐστη	εστη	ἵστημι				E)/STH	I(/STHMI
1	1	C		4	καὶ	και	και	καί				KAI\	KAI/
1	1	P		8	ἐπὶ	ἐπι	επι	ἐπί				E)PI\	E)PI/
1	1	N1A	ASF	13570	καθέδραν	καθεδραν	καθεδραν	καθέδρα				KAQE/DRAN	KAQE/DRA
1	1	N2	GPM	10050	λοιμῶν	λοιμων	λοιμων	λοιμός				LOIMW=N	LOIMO/S
1	1	D		9	οὐκ	οὐκ	ουκ	οὐ				OU)K	OU)
1	1	VAI	AAI3S	633473	ἐκάθισεν	ἐκαθισεν	εκαθισεν	καθίζω			,	E)KA/QISEN	I(/ZW            KATA
1	2	C		4	ἀλλ	ἀλλ	αλλ	ἀλλά				A)LL'	A)LLA/
1	2	C		4	ἢ	ἠ	η	ἤ				H)\	H)/
1	2	P		8	ἐν	ἐν	εν	ἐν				E)N	E)N
1	2	RA	DSM	10	τῷ	τω	τω	ὁ				TW=|	O(
1	2	N2	DSM	9602	νόμῳ	νομω	νομω	νόμος				NO/MW|	NO/MOS
1	2	N2	GSM	9538	κυρίου	κυριου	κυριου	κύριος				KURI/OU	KU/RIOS
1	2	RA	NSN	10	τὸ	το	το	ὁ				TO\	O(
1	2	N3M	NSN	17538	θέλημα	θελημα	θελημα	θέλημα				QE/LHMA	QE/LHMA
1	2	RD	GSM	11	αὐτοῦ	αὐτου	αυτου	αὐτός			,	AU)TOU=	AU)TO/S
1	2	C		4	καὶ	και	και	καί				KAI\	KAI/
1	2	P		8	ἐν	ἐν	εν	ἐν				E)N	E)N
1	2	RA	DSM	10	τῷ	τω	τω	ὁ				TW=|	O(
1	2	N2	DSM	9602	νόμῳ	νομω	νομω	νόμος				NO/MW|	NO/MOS
1	2	RD	GSM	11	αὐτοῦ	αὐτου	αυτου	αὐτός				AU)TOU=	AU)TO/S
1	2	VF	FAI3S	632961	μελετήσει	μελετησει	μελετησει	μελετάω				MELETH/SEI	MELETA/W
1	2	N1A	GSF	13634	ἡμέρας	ἡμερας	ημερας	ἡμέρα				H(ME/RAS	H(ME/RA
1	2	C		4	καὶ	και	και	καί				KAI\	KAI/
1	2	N3	GSF	13634	νυκτός	νυκτος	νυκτος	νύξ			.	NUKTO/S	NU/C
1	3	C		4	καὶ	και	και	καί				KAI\	KAI/
1	3	VF	FMI3S	637057	ἔσται	ἐσται	εσται	εἰμί				E)/STAI	EI)MI/
1	3	C		4	ὡς	ὡς	ως	ὥς				W(S	W(S
1	3	RA	NSN	10	τὸ	το	το	ὁ				TO\	O(
1	3	N2N	NSN	17538	ξύλον	ξυλον	ξυλον	ξύλον				CU/LON	CU/LON
1	3	RA	NSN	10	τὸ	το	το	ὁ				TO\	O(
1	3	VM	XPPNSN	8998337	πεφυτευμένον	πεφυτευμενον	πεφυτευμενον	φυτεύω				PEFUTEUME/NON	FUTEU/W
1	3	P		8	παρὰ	παρα	παρα	παρά				PARA\	PARA/
1	3	RA	APF	10	τὰς	τας	τας	ὁ				TA\S	O(
