1	1	N	NSM	9346	Αδαμ	αδαμ	αδαμ	Ἀδάμ			,	*ADAM	*ADAM
1	1	N	NSM	9346	Σηθ	σηθ	σηθ	Σήθ			,	*SHQ	*SHQ
1	1	N	NSM	9346	Ενως	ενως	ενως	Ἐνώς			,	*ENWS	*ENWS
1	2	N	NSM	9346	Καιναν	καιναν	καιναν	Καϊνάν			,	*KAINAN	*KAINAN
1	2	N	NSM	9346	Μαλελεηλ	μαλελεηλ	μαλελεηλ	Μαλελεήλ			,	*MALELEHL	*MALELEHL
1	2	N	NSM	9346	Ιαρεδ	ιαρεδ	ιαρεδ	Ἰάρεδ			,	*IARED	*IARED
1	3	N	NSM	9346	Ενωχ	ενωχ	ενωχ	Ἐνώχ			,	*ENWX	*ENWX
1	3	N	NSM	9346	Μαθουσαλα	μαθουσαλα	μαθουσαλα	Μαθουσαλά			,	*MAQOUSALA	*MAQOUSALA
1	3	N	NSM	9346	Λαμεχ	λαμεχ	λαμεχ	Λάμεχ			,	*LAMEX	*LAMEX
1	4	N	NSM	9346	Νωε	νωε	νωε	Νῶε			.	*NWE	*NWE
1	4	N2	NPM	9858	υἱοὶ	υἱοι	υιοι	υἱός				UI(OI\	UI(O/S
1	4	N	GSM	9538	Νωε	νωε	νωε	Νῶε			·	*NWE	*NWE
1	4	N	NSM	9346	Σημ	σημ	σημ	Σήμ			,	*SHM	*SHM
1	4	N	NSM	9346	Χαμ	χαμ	χαμ	Χαμ			,	*XAM	*XAM
1	4	N	NSM	9346	Ιαφεθ	ιαφεθ	ιαφεθ	Ιαφεθ			.	*IAFEQ	*IAFEQ
1	5	N2	NPM	9858	Υἱοὶ	υἱοι	υιοι	υἱός				UI(OI\	UI(O/S
1	5	N	GSM	9538	Ιαφεθ	ιαφεθ	ιαφεθ	Ιαφεθ			·	*IAFEQ	*IAFEQ
1	5	N	NSM	9346	Γαμερ	γαμερ	γαμερ	Γαμερ			,	*GAMER	*GAMER
1	5	N	NSM	9346	Μαγωγ	μαγωγ	μαγωγ	Μαγώγ			,	*MAGWG	*MAGWG
1	5	N	NSM	9346	Μαδαι	μαδαι	μαδαι	Μαδαι			,	*MADAI	*MADAI
1	5	N	NSM	9346	Ιωυαν	ιωυαν	ιωυαν	Ιωυαν			,	*IWUAN	*IWUAN
1	5	N	NSM	9346	Ελισα	ελισα	ελισα	Ελισα			,	*ELISA	*ELISA
1	5	N	NSM	9346	Θοβελ	θοβελ	θοβελ	Θοβελ			,	*QOBEL	*QOBEL
1	5	N	NSM	9346	Μοσοχ	μοσοχ	μοσοχ	Μοσοχ				*MOSOX	*MOSOX
1	5	C		4	καὶ	και	και	καί				KAI\	KAI/
1	5	N	NSM	9346	Θιρας	θιρας	θιρας	Θιρας			.	*QIRAS	*QIRAS
1	6	C		4	καὶ	και	και	καί				KAI\	KAI/
1	6	N2	NPM	9858	υἱοὶ	υἱοι	υιοι	υἱός				UI(OI\	UI(O/S
1	6	N	GSM	9538	Γαμερ	γαμερ	γαμερ	Γαμερ			·	*GAMER	*GAMER
1	6	N	NSM	9346	Ασχαναζ	ασχαναζ	ασχαναζ	Ασχαναζ				*ASXANAZ	*ASXANAZ
1	6	C		4	καὶ	και	και	καί				KAI\	KAI/
1	6	N	NSM	9346	Ριφαθ	ριφαθ	ριφαθ	Ριφαθ				*RIFAQ	*RIFAQ
1	6	C		4	καὶ	και	και	καί				KAI\	KAI/
1	6	N	NSM	9346	Θοργαμα	θοργαμα	θοργαμα	Θοργαμα			.	*QORGAMA	*QORGAMA
1	7	C		4	καὶ	και	και	καί				KAI\	KAI/
1	7	N2	NPM	9858	υἱοὶ	υἱοι	υιοι	υἱός				UI(OI\	UI(O/S
1	7	N	GSM	9538	Ιωυαν	ιωυαν	ιωυαν	Ιωυαν			·	*IWUAN	*IWUAN
1	7	N	NSM	9346	Ελισα	ελισα	ελισα	Ελισα				*ELISA	*ELISA
1	7	C		4	καὶ	και	και	καί				KAI\	KAI/
1	7	N	NSM	9346	Θαρσις	θαρσις	θαρσις	Θαρσις			,	*QARSIS	*QARSIS
1	7	N2	NPM	9858	Κίτιοι	κιτιοι	κιτιοι	Κίτιοι				*KI/TIOI	*KI/TIOI
1	7	C		4	καὶ	και	και	καί				KAI\	KAI/
1	7	N2	NPM	9858	Ῥόδιοι	ῥοδιοι	ροδιοι	Ῥόδιοι			.	*R(O/DIOI	*R(O/DIOI
