1	1	N2	NSM	9346	Λόγος	λογος	λογος	λόγος				LO/GOS	LO/GOS
1	1	N2	GSM	9538	κυρίου	κυριου	κυριου	κύριος			,	KURI/OU	KU/RIOS
1	1	RR	NSM	14	ὃς	ὁς	ος	ὅς				O(\S	O(/S
1	1	VCI	API3S	641665	ἐγενήθη	ἐγενηθη	εγενηθη	γίνομαι				E)GENH/QH	GI/GNOMAI
1	1	P		8	πρὸς	προς	προς	πρός				PRO\S	PRO/S
1	1	N	ASM	9474	Ιωηλ	ιωηλ	ιωηλ	Ἰωήλ				*IWHL	*IWHL
1	1	RA	ASM	10	τὸν	τον	τον	ὁ				TO\N	O(
1	1	RA	GSM	10	τοῦ	του	του	ὁ				TOU=	O(
1	1	N	GSM	9538	Βαθουηλ	βαθουηλ	βαθουηλ	Βαθουηλ			.	*BAQOUHL	*BAQOUHL
1	2	VA	AAD2P	895681	Ἀκούσατε	ἀκουσατε	ακουσατε	ἀκούω				A)KOU/SATE	A)KOU/W
1	2	X		5	δὴ	δη	δη	δή				DH\	DH/
1	2	RD	APN	11	ταῦτα	ταυτα	ταυτα	οὗτος			,	TAU=TA	OU(=TOS
1	2	RA	NPM	10	οἱ	οἱ	οι	ὁ				OI(	O(
1	2	A1A	NPM	9859	πρεσβύτεροι	πρεσβυτεροι	πρεσβυτεροι	πρεσβύτερος			,	PRESBU/TEROI	PRESBU/TEROS
1	2	C		4	καὶ	και	και	καί				KAI\	KAI/
1	2	VA	AMD2P	899777	ἐνωτίσασθε	ἐνωτισασθε	ενωτισασθε	ἐνωτίζομαι			,	E)NWTI/SASQE	E)NWTI/ZOMAI
1	2	A3	NPM	9859	πάντες	παντες	παντες	πᾶς				PA/NTES	PA=S
1	2	RA	NPM	10	οἱ	οἱ	οι	ὁ				OI(	O(
1	2	V2	PAPNPM	5055937	κατοικοῦντες	κατοικουντες	κατοικουντες	κατοικέω				KATOIKOU=NTES	OI)KE/W          KATA
1	2	RA	ASF	10	τὴν	την	την	ὁ				TH\N	O(
1	2	N1	ASF	13570	γῆν	γην	γην	γῆ			.	GH=N	GH=
1	2	C		4	εἰ	εἰ	ει	εἰ				EI)	EI)
1	2	VX	XAI3S	633985	γέγονεν	γεγονεν	γεγονεν	γίνομαι				GE/GONEN	GI/GNOMAI
1	2	A1	NPN	18051	τοιαῦτα	τοιαυτα	τοιαυτα	τοιοῦτος				TOIAU=TA	TOIOU=TOS
1	2	P		8	ἐν	ἐν	εν	ἐν				E)N	E)N
1	2	RA	DPF	10	ταῖς	ταις	ταις	ὁ				TAI=S	O(
1	2	N1A	DPF	14210	ἡμέραις	ἡμεραις	ημεραις	ἡμέρα				H(ME/RAIS	H(ME/RA
1	2	RP	GP	13	ὑμῶν	ὑμων	υμων	ὑμῶν				U(MW=N	SU/
1	2	C		4	ἢ	ἠ	η	ἤ				H)\	H)/
1	2	P		8	ἐν	ἐν	εν	ἐν				E)N	E)N
1	2	RA	DPF	10	ταῖς	ταις	ταις	ὁ				TAI=S	O(
1	2	N1A	DPF	14210	ἡμέραις	ἡμεραις	ημεραις	ἡμέρα				H(ME/RAIS	H(ME/RA
1	2	RA	GPM	10	τῶν	των	των	ὁ				TW=N	O(
1	2	N3	GPM	10050	πατέρων	πατερων	πατερων	πατήρ				PATE/RWN	PATH/R
1	2	RP	GP	13	ὑμῶν	ὑμων	υμων	ὑμῶν			;	U(MW=N	SU/
1	3	P		8	ὑπὲρ	ὑπερ	υπερ	ὑπέρ				U(PE\R	U(PE/R
1	3	RD	GPM	11	αὐτῶν	αὐτων	αυτων	αὐτός				AU)TW=N	AU)TO/S
1	3	RA	DPN	10	τοῖς	τοις	τοις	ὁ				TOI=S	O(
1	3	N2N	DPN	18306	τέκνοις	τεκνοις	τεκνοις	τέκνον				TE/KNOIS	TE/KNON
1	3	RP	GP	13	ὑμῶν	ὑμων	υμων	ὑμῶν				U(MW=N	SU/
1	3	VAI	AMD2P	899777	διηγήσασθε	διηγησασθε	διηγησασθε	διηγέομαι			,	DIHGH/SASQE	H(GE/OMAI        DIA
1	3	C		4	καὶ	και	και	καί				KAI\	KAI/
1	3	RA	NPN	10	τὰ	τα	τα	ὁ				TA\	O(
1	3	N2N	NPN	18050	τέκνα	τεκνα	τεκνα	τέκνον				TE/KNA	TE/KNON
1	3	RP	GP	13	ὑμῶν	ὑμων	υμων	ὑμῶν				U(MW=N	SU/
1	3	RA	DPN	10	τοῖς	τοις	τοις	ὁ				TOI=S	O(
1	3	N2N	DPN	18306	τέκνοις	τεκνοις	τεκνοις	τέκνον				TE/KNOIS	TE/KNON
1	3	RD	GPM	11	αὐτῶν	αὐτων	αυτων	αὐτός			,	AU)TW=N	AU)TO/S
1	3	C		4	καὶ	και	και	καί				KAI\	KAI/
1	3	RA	NPN	10	τὰ	τα	τα	ὁ				TA\	O(
1	3	N2N	NPN	18050	τέκνα	τεκνα	τεκνα	τέκνον				TE/KNA	TE/KNON
1	3	RD	GPM	11	αὐτῶν	αὐτων	αυτων	αὐτός				AU)TW=N	AU)TO/S
1	3	P		8	εἰς	εἰς	εις	εἰς				EI)S	EI)S
1	3	N1A	ASF	13570	γενεὰν	γενεαν	γενεαν	γενεά				GENEA\N	GENEA/
1	3	A1A	ASF	13571	ἑτέραν	ἑτεραν	ετεραν	ἕτερος			.	E(TE/RAN	E(/TEROS
1	4	RA	APN	10	τὰ	τα	τα	ὁ				TA\	O(
1	4	A1B	APN	18179	κατάλοιπα	καταλοιπα	καταλοιπα	κατάλοιπος				KATA/LOIPA	KATA/LOIPOS
1	4	RA	GSF	10	τῆς	της	της	ὁ				TH=S	O(
1	4	N1	GSF	13634	κάμπης	καμπης	καμπης	καμπή				KA/MPHS	KA/MPH
1	4	VBI	AAI3S	633473	κατέφαγεν	κατεφαγεν	κατεφαγεν	κατεσθίω				KATE/FAGEN	E)SQI/W          KATA
1	4	RA	NSF	10	ἡ	ἡ	η	ὁ				H(	O(
1	4	N3D	NSF	13442	ἀκρίς	ἀκρις	ακρις	ἀκρίς			,	A)KRI/S	A)KRI/S
1	4	C		4	καὶ	και	και	καί				KAI\	KAI/
1	4	RA	APN	10	τὰ	τα	τα	ὁ				TA\	O(
1	4	A1B	APN	18179	κατάλοιπα	καταλοιπα	καταλοιπα	κατάλοιπος				KATA/LOIPA	KATA/LOIPOS
1	4	RA	GSF	10	τῆς	της	της	ὁ				TH=S	O(
1	4	N3D	GSF	13634	ἀκρίδος	ἀκριδος	ακριδος	ἀκρίς				A)KRI/DOS	A)KRI/S
1	4	VBI	AAI3S	633473	κατέφαγεν	κατεφαγεν	κατεφαγεν	κατεσθίω				KATE/FAGEN	E)SQI/W          KATA
1	4	RA	NSM	10	ὁ	ὁ	ο	ὁ				O(	O(
1	4	N2	NSM	9346	βροῦχος	βρουχος	βρουχος	βροῦχος			,	BROU=XOS	BROU=XOS
1	4	C		4	καὶ	και	και	καί				KAI\	KAI/
1	4	RA	APN	10	τὰ	τα	τα	ὁ				TA\	O(
1	4	A1B	APN	18179	κατάλοιπα	καταλοιπα	καταλοιπα	κατάλοιπος				KATA/LOIPA	KATA/LOIPOS
1	4	RA	GSM	10	τοῦ	του	του	ὁ				TOU=	O(
1	4	N2	GSM	9538	βρούχου	βρουχου	βρουχου	βροῦχος				BROU/XOU	BROU=XOS
1	4	VBI	AAI3S	633473	κατέφαγεν	κατεφαγεν	κατεφαγεν	κατεσθίω				KATE/FAGEN	E)SQI/W          KATA
1	4	RA	NSF	10	ἡ	ἡ	η	ὁ				H(	O(
1	4	N1	NSF	13442	ἐρυσίβη	ἐρυσιβη	ερυσιβη	ἐρυσίβη			.	E)RUSI/BH	E)RUSI/BH
1	5	VA	AAD2P	895681	ἐκνήψατε	ἐκνηψατε	εκνηψατε	ἐκνήφω			,	E)KNH/YATE	NH/FW            E)K
1	5	RA	NPM	10	οἱ	οἱ	οι	ὁ				OI(	O(
1	5	V1	PAPNPM	5055937	μεθύοντες	μεθυοντες	μεθυοντες	μεθύω			,	MEQU/ONTES	MEQU/W
1	5	P		8	ἐξ	ἐξ	εξ	ἐκ				E)C	E)K
