1	0	N2N	NSN	17538	Ἀντίγραφον	ἀντιγραφον	αντιγραφον	ἀντίγραφον				A)NTI/GRAFON	A)NTI/GRAFON
1	0	N1	GSF	13634	ἐπιστολῆς	ἐπιστολης	επιστολης	ἐπιστολή			,	E)PISTOLH=S	E)PISTOLH/
1	0	RR	GSF	14	ἧς	ἡς	ης	ὅς				H(=S	O(/S
1	0	VAI	AAI3S	633473	ἀπέστειλεν	ἀπεστειλεν	απεστειλεν	ἀποστέλλω				A)PE/STEILEN	STE/LLW          A)PO
1	0	N	NSM	9346	Ιερεμιας	ιερεμιας	ιερεμιας	Ἱερεμίας				*IEREMIAS	*I)EREMI/AS
1	0	P		8	πρὸς	προς	προς	πρός				PRO\S	PRO/S
1	0	RA	APM	10	τοὺς	τους	τους	ὁ				TOU\S	O(
1	0	VQ	FPPAPM	5130689	ἀχθησομένους	ἀχθησομενους	αχθησομενους	ἄγω				A)XQHSOME/NOUS	A)/GW
1	0	A1B	APM	9987	αἰχμαλώτους	αἰχμαλωτους	αιχμαλωτους	αἰχμάλωτος				AI)XMALW/TOUS	AI)XMA/LWTOS
1	0	P		8	εἰς	εἰς	εις	εἰς				EI)S	EI)S
1	0	N3W	ASF	13570	Βαβυλῶνα	βαβυλωνα	βαβυλωνα	Βαβυλών				*BABULW=NA	*BABULW/N
1	0	P		8	ὑπὸ	ὑπο	υπο	ὑπό				U(PO\	U(PO/
1	0	RA	GSM	10	τοῦ	του	του	ὁ				TOU=	O(
1	0	N3V	GSM	9538	βασιλέως	βασιλεως	βασιλεως	βασιλεύς				BASILE/WS	BASILEU/S
1	0	RA	GPM	10	τῶν	των	των	ὁ				TW=N	O(
1	0	N	GPM	10050	Βαβυλωνίων	βαβυλωνιων	βαβυλωνιων	Βαβυλώνιος				*BABULWNI/WN	*BABULW/NIOS
1	0	VA	AAN	306049	ἀναγγεῖλαι	ἀναγγειλαι	αναγγειλαι	ἀναγγέλλω				A)NAGGEI=LAI	A)GGE/LLW        A)NA
1	0	RD	DPM	11	αὐτοῖς	αὐτοις	αυτοις	αὐτός				AU)TOI=S	AU)TO/S
1	0	C		4	καθότι	καθοτι	καθοτι	καθότι				KAQO/TI	KAQO/TI
1	0	VDI	API3S	641665	ἐπετάγη	ἐπεταγη	επεταγη	ἐπιτάσσω				E)PETA/GH	TA/SSW           E)PI
1	0	RD	DSM	11	αὐτῷ	αὐτω	αυτω	αὐτός				AU)TW=|	AU)TO/S
